"P22681" "P01730" "Q13094" "P56945" "P08620" "Q9NP95" "Q9HCT0" "P14784" "P19235" "O00459" "Q8WV28" "Q13651" "P10767" "P01579" "P10912" "P05112" "Q9GZV9" "P17081" "P26992" "Q14627" "P19174" "Q01113" "Q9UBC2" "Q01344" "P16234" "P51451" "O43559" "P22607" "P06756" "P09619" "P05106" "Q99665" "Q92569" "Q9H6Q3" "P53680" "P42702" "O75886" "P35968" "P42336" "O15520" "P29597" "P43403" "P01133" "P21781" "P08069" "Q8WYR1" "P17181" "Q8N6P7" "Q96JA1" "Q99650" "P27986" "O76093" "P21709" "P31785" "P54764" "P17948" "P01732" "P07333" "P10721" "P42338" "P30273" "Q08334" "P38484" "P09693" "P22455" "Q96CW1" "O95750" "Q969J5" "Q8WU20" "P46108" "P04234" "P15498" "P11274" "P06213" "O14492" "P35568" "P34741" "P63010" "P42701" "P60953" "Q9UHF4" "P12319" "P08581" "P07947" "Q14626" "P09603" "Q8IU57" "P26951" "Q6UXL0" "P48357" "O14964" "P11487" "Q9BUI4" "P29320" "Q9HBE5" "P05230" "P40189" "P62993" "O75791" "P61769" "Q15303" "Q99062" "P23458" "O43609" "P48551" "O43320" "P46109" "P07949" "P63000" "P01308" "P12931" "P29317" "O95782" "P48736" "Q9Y5K6" "P07766" "P20963" "P15260" "P20827" "P08887" "P06241" "Q9UKW4" "P78552" "P42566" "Q13905" "P00519" "P40238" "P09769" "P43405" "O43597" "O00329" "Q92783" "P01589" "Q13261" "Q99962" "Q15811" "P15509" "Q9HC73" "O60674" "P31371" "P01854" "P07948" "Q96B97" "P32927" "Q07889" "P62987" "P52333" "Q08881" "Q9Y6I3" "O94973" "Q92793" "Q68CJ9" "P02533" "Q08117" "P19838" "P24385" "P23409" "P08151" "P11473" "Q16539" "P22736" "P10914" "P15172" "P05198" "Q04721" "P20823" "Q96RS0" "P30279" "Q13573" "Q15796" "Q6STE5" "P25490" "Q07869" "P51817" "Q9Y6J0" "Q09472" "O15399" "Q9UM47" "Q99814" "Q92831" "P40763" "Q9UJU2" "P06400" "P31749" "Q14814" "Q8TEY5" "Q13309" "O14960" "P46531" "Q13224" "Q9HCS4" "Q16566" "Q96BA8" "Q13363" "Q92585" "Q14957" "P51692" "Q8TAD8" "P04141" "P42226" "Q8TD86" "P17676" "P30411" "O96020" "O14746" "P17612" "Q14188" "Q03181" "P27482" "P52630" "P19338" "Q86X55" "Q70SY1" "P08047" "P10415" "Q12879" "P18848" "Q16665" "P10242" "P36402" "P42229" "Q9UBG7" "Q13485" "O43889" "P35222" "Q06330" "Q9H7Z7" "Q02930" "Q14765" "P27540" "P61244" "Q14686" "Q96ST3" "P42224" "Q99967" "P24522" "P05412" "Q13547" "P98177" "Q14573" "Q14186" "Q04724" "P15976" "P22612" "P01106" "P05305" "Q12778" "Q9NZT1" "O60238" "Q14571" "Q9Y6X2" "Q13469" "Q8N9B5" "Q00978" "Q3L8U1" "Q04206" "P16220" "Q99966" "P00338" "Q15329" "Q15596" "Q9BZK7" "Q14643" "Q96JK9" "Q8IZL2" "P11166" "P19793" "Q6NSJ8" "Q7Z6C1" "P01567" "P50591" "Q13191" "Q9ULV8" "P01562" "Q9P0W0" "O75159" "O15524" "O14543" "O14512" "O14508" "Q8WXH5" "P32881" "P01563" "P05013" "P01569" "P05015" "P01566" "P01570" "P01568" "P05000" "P01574" "P29350" "P01571" "P05014" "Q86WN2" "P29459" "Q9UL17" "Q00653" "O75293" "P10144" "Q01201" "P29460" "P14778" "Q9NRA0" "O95257" "P01584" "P12544" "O95936" "P01100" "Q13568" "P48023" "P28482" "P60568" "P01116" "P27361" "O60496" "P62330" "Q12968" "Q9UQC2" "Q02750" "Q02156" "P01112" "P14222" "P45984" "O95644" "Q9Y5U5" "Q14289" "Q15759" "P17405" "Q06124" "Q86VZ5" "P01111" "P30281" "Q16739" "Q9Y4H2" "Q9BZS1" "Q07011" "Q05513" "P43489" "Q9NSE2" "Q9UKT9" "P40933" "Q07817" "Q14213" "O75925" "P05231" "Q6UWB1" "P04626" "O75030" "Q16584" "P07332" "Q13557" "P52564" "Q92835" "P61968" "Q15306" "P14921" "Q9UQM7" "Q13233" "P13725" "P15018" "Q16619" "Q9UBD9" "P26441" "P19438" "Q9NPF7" "Q13546" "O15105" "Q8N2W9" "Q13158" "Q9NQC7" "Q05655" "Q15628" "Q16552" "Q07325" "P48061" "P23771" "O75928" "P61073" "Q9BY44" "P18428" "P01033" "P21583" "Q9Y478" "Q9UGI9" "O14788" "P36888" "O43741" "P02741" "P01189" "Q9UGJ0" "P14625" "O15379" "P17275" "Q9H0H5" "P41159" "P54619" "P01023" "Q96PD4" "Q13131" "P42345" "P54646" "P49716"
"Q96JA1" 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 1 0 0 0.12375 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1075 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.10825 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.10075 0.10875 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1075 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Q99650" 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.17675 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.08525 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8 0.8 0 0 0.8 0.8 0.68925 0.8 0.8 0.8 0 0 0 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0.0875 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P27986" 0.9 0 0 0.9 0 0 0 0.9 0 0.9 0 0 0 0.9 0 0.899 0 0 0 0 0.9 0 0 0 0.9 0 0 0 0.9 0.9 0.9 0 0.9 0 0 0 0 0.9 0.9 0 0.9 0.8 0.9 0 0.9 0.899 0 0 0 0 1 0 0 0.9 0 0.9 0 0 0.9 0.9 0.899 0 0 0 0 0 0 0 0.9 0.9 0 0.9 0 0.9 0 0.9 0.899 0 0.899 0.9 0 0.899 0.9 0 0 0 0 0.8 0 0 0 0 0 0 0 0 0 0.9 0 0 0.8 0 0.9 0 0 0 0.8 0.9 0.9 0.9 0.9 0.9 0 0.9 0.9 0 0 0.7665 0.899 0 0.9 0.9 0 0 0 0 0 0.8 0.9 0 0 0 0.9 0 0 0 0 0 0.9 0 0.9 0.9 0 0.8 0.9 0 0.9 0.8 0 0 0 0 0 0 0.9 0.9 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0635 0 0 0 0 0 0 0 0 0.9 0.08075 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0.899 0.9 0 0 0.899 0 0 0 0 0 0.9 0.9 0.9 0.9 0 0.899 0 0.9 0.9 0 0.9 0 0 0 0 0 0.899 0.9 0.9 0.899 0.9 0.899 0.899 0.9 0 0 0.9 0 0 0 0 0.9 0 0.09825 0 0 0.8 0 0 0.9 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0.899 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0
"O76093" 0.899 0 0 0 0.9 0.9 0 0 0 0 0 0 0.88975 0 0 0 0.9 0 0 0 0 0 0.11925 0 0.8 0 0.907 0.8 0 0.8 0 0 0 0 0 0 0 0 0 0.1985 0 0 0 0 0.8 0 0 0 0.12375 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0.86675 0 0.9 0 0 0 0 0 0 0 0.899 0 0 0 0 0 0.8 0 0 0 0 0.054 0 0 0 0.2655 0 0 0 0.86975 0 0 0 0 0 0 0 0 0 0.87525 0 0 0 0 0 0 0 0 0.1455 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0.10075 0 0.1555 0 0.101 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.11825 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0865 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1445 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.105 0.14975 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0645 0 0.091 0 0 0 0 0 0 0 0.149 0 0 0 0 0 0 0 0 0 0 0.117 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0775 0.106 0 0 0 0 0 0 0 0 0 0 0 0
"P21709" 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.09075 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.09425 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0.8525 0 0 0 0 0 0 0.9 0 0.9 0 0 0 0 0.8 0 0.9 0 0 0 0 0 0 0 0 0 0 0.19125 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.08875 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.18025 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1775 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P31785" 0.899 0 0.11775 0 0 0 0 0.9 0 0 0 0 0 0 0 0.9 0 0 0 0.1845 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0.08675 0 0 0.899 0 0.9 0 0.8 0 0 0 0 0 0 0 0 0 0.9 0 0 1 0 0 0.9 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0.9 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.899 0 0.8 0 0 0.9 0 0.9 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0.79475 0.9 0 0 0 0.9 0 0 0 0 0 0 0 0.9 0 0 0.9 0.9 0.8 0 0 0 0 0.8 0 0 0 0 0 0.899 0 0.789 0 0 0 0 0 0 0 0 0 0 0 0 0.899 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8 0.8 0 0 0.899 0.9 0.9 0.8 0.8 0.8 0 0 0 0 0 0 0 0 0 0 0.778 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0.9 0.9 0.899 0.9 0.9 0 0 0.9 0.899 0.899 0.9 0.9 0.899 0 0.9 0.76625 0.899 0.899 0.9 0.899 0.9 0.9 0.899 0.9 0 0.9 0.899 0.73725 0.9 0.77925 0.8 0.9 0 0 0 0 0 0 0 0.899 0 0 0.7675 0 0.73475 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P54764" 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0.85775 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0.9 0 0 0 0 0 0 0.9 0 0.9 0.899 0 0 0 0.8 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P17948" 0.9 0 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0.8 0 0 0 0 0.9 0.9 0 0 0 0.8 0 0 0.8 0 0 0 0 0.9 0 0 0 0 1 0 0 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8 0.9 0 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0 0.8 0 0 0 0.8 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P01732" 0.899 0.88725 0.9 0 0 0 0 0.82625 0 0 0 0 0 0.108 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.12025 0 0 0 0 0 0 0 0.79475 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 1 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0.9 0.9 0 0 0 0 0 0 0.10525 0 0 0 0 0 0 0 0 0 0 0 0 0 0.899 0 0.08825 0 0 0 0.9 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.826 0.832 0 0 0 0.9 0 0 0 0 0 0 0 0.9 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.16275 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.07775 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1115 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0.09675 0 0 0.13525 0 0 0 0 0 0 0.16325 0.9 0 0 0.11125 0 0.9 0 0 0 0 0 0 0 0 0 0.82625 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.119 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P07333" 0.9 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.18975 0 0 0 0 0 0 0 0 0.9 0 0.9 0.19775 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0.19125 0 0 0 0 0 0 0 0 0.18075 0 0 0 0 0 0 0 0 0 0 0.17975 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0.8 0 0 0 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1865 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.18725 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P10721" 0.8 0 0 0 0 0 0 0 0.9 0.8 0 0 0 0 0 0 0 0 0 0.20775 0 0 0 0 0 0.1825 0 0 0 0 0 0.195 0.8 0 0 0 0 0 0.9 0 0.19025 0.1865 0 0 0 0.8 0 0 0 0 0.9 0 0 0 0 0 0 0.19125 1 0.8 0 0.1855 0 0 0 0 0 0.18075 0 0 0 0.9 0 0 0.9 0 0 0 0.183 0 0 0.04625 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0 0 0 0 0.8 0 0 0.17775 0 0 0 0.8 0 0 0.17875 0.8 0 0 0 0.9 0 0 0.9 0.8 0 0.9 0 0 0 0.8 0 0.899 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0.17725 0 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8 0.8 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0 0 0.8 0 0 0 0.19125 0 0 0 0.9 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0.18325 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0.21275 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P42338" 0.8 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0.8 0 0 0 0 0.8 0 0 0.9 0 0 0 0 0.8 0.8575 0 0.8 0.8 0 0 0.8 0.9 0 0 0 0 0.9 0 0 0 0 0.8 0 0 0.8 1 0.899 0 0 0 0 0 0 0 0.9 0.8 0 0.9 0 0 0 0.9 0 0 0 0.8 0 0 0.8 0 0 0 0 0.8 0 0 0 0 0 0 0 0 0 0.9 0 0 0.8 0 0.8 0 0 0 0.8 0 0.8 0 0.8 0 0 0.87 0.899 0 0 0 0 0 0.9 0.9 0 0 0 0 0 0.8 0.9 0 0.19675 0 0 0 0 0 0 0 0.8 0 0 0.9 0 0.8 0.9 0 0.8 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8 0 0 0 0 0.8 0.8 0 0.8 0 0 0 0 0 0 0 0.9 0 0.8 0 0 0.9 0 0 0.8 0 0 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8 0 0
