"P07384" "Q15078" "P18031" "Q92851" "P10144" "O00220" "P50591" "O14763" "Q13158" "Q9UBN6" "P42574" "O14920" "P48023" "Q9Y6K9" "O15111" "Q14790" "P19438" "P08138" "Q00653" "A8K6K3" "P25963" "O43353" "Q01201" "P19838" "P21580" "Q12933" "Q8IUC6" "Q13546" "P41279" "Q04759" "Q9Y243" "P31749" "O95999" "O00221" "P17252" "P41743" "O15455" "P35568" "Q02156" "Q15653" "Q9Y4K3" "Q9UDY8" "Q92985" "O43524" "Q15628" "Q99558" "Q99759" "O43318" "P01138" "P21333" "P51617" "O14654" "Q9Y4H2" "Q05513" "Q13501" "P31751" "Q9BXL7" "Q13233" "Q04206" "Q6NSJ8" "Q9NPH3" "Q13490" "P14778" "Q13489" "Q00610" "O95429" "Q06187" "O14798" "P42575" "P55957" "P78560" "P15311" "P17405" "Q99683" "P42224" "Q13077" "Q99836" "O14733" "P49815" "O43187" "Q9Y616" "Q92574" "Q9NWZ3" "Q15654" "P62714" "P01583" "P01584" "Q9HAT8" "Q9H0E2" "Q8N2H9" "P30153" "Q9Y2T4" "Q00005" "Q96FA3" "P63151" "Q66LE6" "Q86XR7" "P67775" "P13861" "Q05469" "P31323" "P46940" "Q13370" "Q92934" "P24588" "P10644" "Q14432" "P31321" "P22612" "Q9BYV8" "Q96RT7" "Q9BSJ2" "Q66GS9" "O75935" "Q9NVX0" "Q9UGJ1" "Q96CW5" "Q8TAP6" "Q7Z460" "P62258" "Q8TCU4" "Q9P209" "Q8NHQ1" "O00444" "Q9Y2I6" "Q9UPV0" "Q96RT8" "P53350" "P06493" "P61981" "O15078" "O43805" "Q8TEP8" "Q86XR8" "P48730" "Q96MT8" "O75665" "Q9NXR1" "Q14008" "Q9BV73" "Q14204" "O95613" "P49674" "Q86SQ7" "O95684" "P51955" "P41208" "Q15691" "Q5JTW2" "Q9HC77" "P43034" "O94986" "Q9UPN4" "Q8NHV4" "Q13561"
"P42574" 0 0 0 0.9 0.9 0 0 0 0.9 0 1 0 0 0 0 0 0.8 0.9 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0.9 0 0 0 0.9 0.8 0.9 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"O14920" 0 0 0 0.8 0 0.9 0.9 0.9 0.9 0 0 1 0.9 0.9 0.8928 0 0.9 0.9 0.9 0.9 0.9 0.8678 0.8 0.9 0.9 0.8 0.9 0.9 0.8 0.9 0.8 0.9 0.9 0.8 0.9 0.9 0.9 0.8 0.9 0.9 0.9 0.9 0 0.9 0.9 0.8 0.9 0.9 0.9 0.9 0.8666 0.8 0.8 0.9 0.899 0.8 0.9 0.8 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0.8124 0.8 0.9 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0674 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P48023" 0 0 0 0.9 0.0868 0 0.1622 0 0.9 0 0 0.9 1 0.9 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0.9 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0.9 0.9 0 0.9 0 0 0.9 0 0.9 0.9 0.9 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Q9Y6K9" 0 0 0 0.8 0 0.9 0.9 0.9 0.9 0.1566 0 0.9 0.9 1 0.9 0 0.9 0.9 0.9 0.9 0.9 0.9 0.8 0.9 0.9 0.8 0.9 0.9 0.8 0.9 0.8 0.9 0.9 0.8 0.9 0.9 0.9 0.8 0.9 0.9 0.9 0.9 0.8 0 0.9 0.8 0.9 0.9 0.9 0.9 0.9 0.8 0.8 0.9 0.9 0.8 0.9 0.8 0.9 0 0 0.9 0 0 0 0 0 0.1548 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1728 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"O15111" 0 0 0 0.8 0 0.9 0.9 0.9 0.9 0 0 0.8928 0.9 0.9 1 0 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.8 0.9 0.9 0.8 0.9 0.8 0.9 0.9 0.8 0.9 0.9 0.9 0.8 0.9 0.9 0.9 0.9 0.8 0.9 0.9 0.9 0.9 0.9 0.9 0.899 0.87 0.8 0.8 0.9 0.899 0.8 0.9 0.8 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1742 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Q14790" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0.0668 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.066 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P19438" 0 0 0 0 0 0 0 0 0.9 0 0.8 0.9 0 0.9 0.9 0 1 0 0 0.9 0.9 0 0 0.9 0.9 0.8 0 0.9 0 0 0 0 0 0 0 0.9 0 0 0 0 0.8 0 0 0 0.9 0.9 0.9 0.9 0 0 0 0 0 0.9 0.9 0 0 0 0.9 0 0 0.9 0 0.9 0 0.9 0 0 0.9 0.9 0.9 0 0.9 0.9 0.9 0.9 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P08138" 0 0 0 0 0 0 0 0 0 0.164 0.9 0.9 0 0.9 0.9 0 0 1 0 0 0.9 0.9 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0.9 0 0 0 0 0 0 0 0.9 0 0.9 0 0 0.9 0.899 0 0 0 0.9 0 0 0 0 0 0 0 0 0.1496 0 0 0 0 0 0 0 0 0.9 0 0 0.8 0.8 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.899 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Q00653" 0 0 0 0 0 0 0 0.0612 0 0 0 0.9 0 0.9 0.9 0 0 0 1 0 0.8066 0 0.9 0.8072 0.0944 0.068 0.0776 0 0 0 0 0 0 0.0868 0 0 0 0 0 0.802 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0.0712 0 0 0 0.8046 0 0 0 0 0.0736 0 0 0 0 0 0 0 0 0 0 0 0.0788 0 0 0 0.0598 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"A8K6K3" 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0.9 0.9 0 0.9 0 0 1 0.8 0.8 0 0 0 0 0.899 0.9 0 0 0 0 0 0 0.0828 0 0.9 0 0 0.8 0.9 0 0 0 0.9 0 0.9 0.9 0 0 0.9 0 0 0 0.102 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0756 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P25963" 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0.9 0.9 0 0.9 0.9 0.8066 0.8 1 0.0678 0 0.7924 0.1204 0 0.0644 0 0.0722 0 0.8 0.8 0 0.0946 0.9 0 0 0 0 0.9 0.9 0 0 0 0 0 0 0.8 0.9 0 0 0 0 0.9 0.7914 0.8 0 0 0.9 0 0 0 0 0.7936 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0.0582 0 0 0 0 0 0 0.0674 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"O43353" 0 0 0 0 0 0 0 0 0 0.1824 0 0.8678 0 0.9 0.9 0 0 0.9 0 0.8 0.0678 1 0 0.0628 0.7956 0 0.0598 0 0 0 0 0 0.9 0.083 0 0.899 0 0 0 0 0.9 0 0 0 0 0 0 0.8 0.9 0 0.9 0 0 0.899 0.899 0 0.9 0 0 0 0 0.8 0 0.8 0 0 0 0.1812 0 0 0 0 0 0 0 0 0.9 0 0 0.2396 0 0 0 0.69 0 0 0.0626 0 0 0 0 0 0 0 0 0 0.1856 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Q01201" 0 0 0 0 0 0 0 0 0 0 0 0.8 0 0.8 0.9 0 0 0 0.9 0 0 0 1 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0.04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P19838" 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0.9 0.9 0 0.9 0.9 0.8072 0 0.7924 0.0628 0.9 1 0.799 0 0.0582 0.7916 0.9 0 0.8 0.9 0 0.7182 0.9 0.9 0 0 0 0.9 0.9 0 0 0 0.9 0.8 0 0.8 0.9 0 0 0 0 0.9 0.7886 0.8 0 0.8 0.7714 0 0 0 0.9 0.7884 0 0 0 0 0 0 0 0 0 0 0 0.7878 0 0 0 0.0678 0 0 0 0 0.8 0 0.9 0 0 0 0.8 0.8 0.8 0 0.8 0.8 0 0.8 0 0 0 0 0 0 0 0 0 0 0.899 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P21580" 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0.9 0.9 0 0.9 0 0.0944 0 0.1204 0.7956 0 0.799 1 0 0.0548 0.9 0.0816 0 0 0 0 0.094 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0.2554 0 0.04 0 0 0 0 0 0 0 0 0 0.0674 0 0 0 0.0716 0 0 0 0.04 0 0 0.08 0 0 0 0 0 0 0.1626 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Q12933" 0 0 0 0 0 0 0 0 0 0.1776 0 0.8 0 0.8 0.8 0 0.8 0 0.068 0 0 0 0 0 0 1 0.1438 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0.1454 0 0 0 0.8 0.8 0 0.8 0 0 0 0 0 0 0 0 0 0.8 0 0 0.142 0 0 0.1524 0 0 0 0.1812 0 0 0 0 0 0.8 0 0.1786 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1494 0 0 0.1468 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0802 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Q8IUC6" 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0.9 0.9 0 0 0 0.0776 0.899 0.0644 0.0598 0 0.0582 0.0548 0.1438 1 0.9 0 0 0 0 0 0.0764 0 0 0.9 0 0.1428 0.066 0.9 0 0.9 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0.0662 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0628 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8202 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Q13546" 0 0 0 0 0 0.9 0.9 0.9 0.9 0 0 0.9 0.9 0.9 0.9 0.0668 0.9 0 0 0.9 0 0 0 0.7916 0.9 0.8 0.9 1 0 0 0 0 0 0 0 0.9 0.9 0 0 0 0.8 0 0 0 0.9 0.9 0.9 0.9 0 0 0 0 0 0.9 0.9 0 0 0.9 0.79 0 0 0.9 0 0.9 0 0.9 0 0 0.9 0.899 0.9 0 0.9 0.9 0.9 0.9 0 0.899 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0658 0 0 0.0702 0 0 0 0
"P41279" 0 0 0 0 0 0 0 0 0 0 0 0.8 0 0.8 0.8 0 0 0 0 0 0.0722 0 0 0.9 0.0816 0 0 0 1 0 0.8 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0.1502 0 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0 0 0.0652 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0652 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Q04759" 0 0 0 0 0 0 0 0 0 0 0.9 0.9 0.9 0.9 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0.8 0 0.9 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1508 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Q9Y243" 0 0 0 0 0 0 0 0 0 0 0 0.8 0 0.8 0.8 0 0 0 0 0 0.8 0 0 0.8 0 0 0 0 0.8 0 1 0.1724 0 0.8 0.1508 0.1552 0 0 0 0.8 0 0 0 0.8 0 0 0.143 0.0572 0 0 0.1514 0 0 0.16 0 0.143 0 0.1502 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8 0 0 0 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8 0.8 0 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0584 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1562 0 0 0 0 0 0 0 0 0.0676 0 0 0 0 0 0 0 0 0 0 0
"P31749" 0 0 0.9 0 0 0 0 0 0 0 0 0.9 0 0.9 0.9 0 0 0 0 0 0.8 0 0 0.9 0 0 0 0 0.9 0 0.1724 1 0 0.8 0 0 0 0 0 0.8 0.9 0 0 0.9 0 0.9 0 0 0 0 0 0 0 0.9 0 0.8908 0 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0.9 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8 0.9 0 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"O95999" 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0.9 0.9 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0.9 0.77 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0.77 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0536 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
